county,x,y
Turkana,-136.0, 188.0
Marsabit,17.0, 168.0
West Pokot,-175.0, 88.0
Samburu,-54.0, 62.0
Baringo,-119.0, 26.0
Nandi,-195.0, 52.0
Elgeyo Marakwet,-154.0, 53.0
Uasin Gishu,-169.0, 16.0
Kakamega,-208.0, 2.0
Bungoma,-218.0, 32.0
Busia,-248.0, 13.0
Vihiga,-212.0, -18.0
Laikipia,-65.0, -1.0
Trans Nzoia,-183.0, -13.0
Kericho,-177.0, -46.0
Nakuru,-115.0, -46.0
Narok,-146.0, -128.0
Kajiado,-19.0, -197.0
Bomet,-172.0, -71.0
Nairobi,-59.0, -112.0
Siaya,-244.0, -31.0
Kisumu,-197.0, -39.0
Homabay,-238.0, -64.0
Migori,-236.0, -97.0
Kisii,-208.0, -82.0
Nyamira,-191.0, -69.0
Isiolo,68.0, 46.0
Meru,-4.0, -16.0
Tharaka Nithi,10.0, -42.0
Embu,-6.0, -71.0
Machakos,-24.0, -118.0
Kitui,55.0 ,-160.0
Makueni,9.0, -183.0
Nyandarua,-83.0, -41.0
Nyeri,-58.0, -55.0
Kirinyaga,-25.0, -61.0
Murang'a,-48.0, -80.0
Kiambu,-68.0, -97.0
Mombasa,140.0, -312.0
Tana River,120.0, -146.0
Lamu,205.0, -163.0
Kilifi,140.0, -256.0
Kwale,103.0, -306.0
Tiata taveta,45.0, -267.0
Mandera,222.0, 215.0
Wajir,157.0, 94.0
Mandera,179.0, -82.0
